bincenter,h148,h229,h242,h329
20811.388300841896,,,,
65811.38830084189,,,,
208113.88300841895,,,,
658113.883008419,,,,
2081138.8300841898,0.0014265335235378032,0.0,0.0016750418760469012,0.0
6581138.83008419,0.0,0.002631578947368421,0.0,0.0
20811388.300841898,0.008620689655172414,0.014705882352941176,0.00684931506849315,0.023255813953488372
65811388.3008419,0.043478260869565216,0.0,0.022727272727272728,0.043478260869565216
208113883.00841898,0.14705882352941177,0.3076923076923077,0.0,0.5
658113883.008419,0.18181818181818182,0.5714285714285714,1.0,0.3333333333333333
2081138830.0841897,1.0,1.0,1.0,
6581138830.084189,1.0,,1.0,1.0
20811388300.841896,1.0,,1.0,
65811388300.841896,1.0,,,
208113883008.41898,,,,
658113883008.419,,,,
2081138830084.1897,,,,
6581138830084.189,,,,
20811388300841.9,,,,
